tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
696,AppleSupport,FALSE,Tue Oct 31 22:27:49 +0000 2017,@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.,697,698
699,AppleSupport,FALSE,Tue Oct 31 22:36:27 +0000 2017,@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,,697
701,AppleSupport,FALSE,Tue Oct 31 22:26:49 +0000 2017,@115855 Let's go to DM for the next steps. DM us here: https://t.co/GDrqU22YpT,,702
703,AppleSupport,FALSE,Tue Oct 31 22:09:52 +0000 2017,@115855 Any steps tried since it started last night?,702,704
705,AppleSupport,FALSE,Tue Oct 31 21:57:00 +0000 2017,@115855 That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?,"706,704",707
708,AppleSupport,FALSE,Tue Oct 31 21:43:15 +0000 2017,@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,707,709
712,AppleSupport,FALSE,Tue Oct 31 22:26:29 +0000 2017,"@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT",713,714
716,AppleSupport,FALSE,Tue Oct 31 22:24:54 +0000 2017,@115857 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT,,717
718,AppleSupport,FALSE,Tue Oct 31 22:05:00 +0000 2017,"@115857 Fill us in on what is happening, then we can help out from there.",717,719
720,AppleSupport,FALSE,Tue Oct 31 22:24:27 +0000 2017,@115859 We've received your DM and will continue there.,,721
722,AppleSupport,FALSE,Tue Oct 31 22:17:30 +0000 2017,@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT,721,723
724,AppleSupport,FALSE,Tue Oct 31 22:22:31 +0000 2017,"@115860 Reach out to us via DM, and we can take a look at this with you. https://t.co/GDrqU22YpT",,725
729,AppleSupport,FALSE,Tue Oct 31 20:55:34 +0000 2017,"@115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT",728,730
732,AppleSupport,FALSE,Tue Oct 31 22:22:31 +0000 2017,@115863 Go ahead and send us a DM please. Let us know the country you're in.,,733
734,AppleSupport,FALSE,Tue Oct 31 22:22:00 +0000 2017,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",735,736
737,AppleSupport,FALSE,Tue Oct 31 22:33:34 +0000 2017,"@115864 To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: https://t.co/GDrqU22YpT",,735
738,AppleSupport,FALSE,Tue Oct 31 22:21:30 +0000 2017,@115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?,739,740
741,AppleSupport,FALSE,Tue Oct 31 22:46:26 +0000 2017,"@115865 Let's check Settings &gt; General &gt; Software Update. iOS 11.1 was released earlier today. If you see it, please backup &amp; update.",742,739
