tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
13525,AskRBC,FALSE,Wed Nov 01 01:34:33 +0000 2017,@118820 Pls give our online experts a shout -&gt; 1-800-769-2555 so we can take a look at what's happening for you ^J,,13526
13527,AskRBC,FALSE,Tue Oct 31 21:01:11 +0000 2017,"@118822 You got it, Ahmad! Check out https://t.co/RYKfVV6GpU for the process ^PQ",13528,13529
88970,AskRBC,FALSE,Thu Nov 30 14:36:05 +0000 2017,"@135251 Bonjour Jean-Philippe, les tentatives de fraude peuvent augmenter durant les p̩riodes de haute activit̩ comme les F̻tes. Si vous recevez des SMS ou courriels de hame̤onnage paraissant provenir de la RBC, envoyez-les au __email__ ^EC",88971,88972
88973,AskRBC,FALSE,Thu Nov 30 14:10:00 +0000 2017,"@135252 Hi Claire, were you looking for us? If you have lost your RBC Bank USA card, you can give our team a call at 1-800-769-2553 and they'll be able to help ^EC",,88974
88975,AskRBC,FALSE,Thu Nov 30 13:27:00 +0000 2017,"@135253 Hello! The RBC High Interest eSavings acct includes 1 free withdrawal fr an RBC ATM per mthly stmt cycle; there is a fee for extra withdrawals. For details: https://t.co/sfALyX1oAT Ur best bet is to transfer fr the savings acct to ur banking acct, then use as needed ^C",,88976
108921,AskRBC,FALSE,Thu Nov 23 19:37:28 +0000 2017,"@140166 Hi there, we want to help - can you clarify which ATM you're referring to (branch or store)? Thanks ^EC",,108922
108924,AskRBC,FALSE,Thu Nov 23 19:26:36 +0000 2017,@140167 Your calls are important to us Chelsea; thanks for your patience for any hold times. Please use the Contact Us section of our Android or iOS mobile phone apps to schedule a callback for a time convenient for you ^PQ,108925,108926
108927,AskRBC,FALSE,Thu Nov 23 16:19:51 +0000 2017,"@140168 It might be a browser issue; you could try going to https://t.co/NvYM6AesIY from another one and if that doesn't fix thing, call the number provided earlier ^T",108928,108929
108930,AskRBC,FALSE,Thu Nov 23 16:04:27 +0000 2017,@140168 Online Banking is up and running. We recommend connecting with one of our digital experts at 1-800-769-2555 so they can look into this further with you ^SL,108929,108931
108932,AskRBC,FALSE,Thu Nov 23 16:05:01 +0000 2017,@140169 Hi there! Can you send us a DM with some more details of the transfer please? This way we'll be better able to help. Thanks ^EC,,108933
