tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
407,McDonalds,FALSE,Tue Oct 31 22:14:00 +0000 2017,@115808 Itâ€™s getting all sorts of saucy over here this #Halloween. #TrickorTweet https://t.co/aNlYZYvL1U,,408
409,McDonalds,FALSE,Tue Oct 31 16:02:50 +0000 2017,So whatâ€™ll it be this #Halloween: a trick or a treat? Let us know below. #TrickorTweet https://t.co/xwjAZp0C2v,"410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,408,590,591,592,593,594,595,596,597",
598,McDonalds,FALSE,Tue Oct 31 22:13:45 +0000 2017,"@115809 Our heartâ€™s beating faster over here, and itâ€™s not from all the scares. #TrickorTweet https://t.co/Wte8FLiFJ7",,410
599,McDonalds,FALSE,Tue Oct 31 22:09:01 +0000 2017,@115810 Chocolate chip cookies + McFlurry = everything youâ€™ve ever been missing. #TrickorTweet https://t.co/4YfWChLNKT,,487
612,McDonalds,FALSE,Fri Oct 20 19:04:47 +0000 2017,@115819 Don't forget - this Sunday is Bring Your Grandma to McDonald's Day. See you then!,613,614
3563,McDonalds,FALSE,Tue Oct 31 22:58:41 +0000 2017,@116557 This Coke looks so good you can almost taste it. Almost. #TrickorTweet https://t.co/XqZNqAnYPF,,416
3564,McDonalds,FALSE,Tue Oct 31 22:44:06 +0000 2017,@116558 Itâ€™s a birdâ€¦itâ€™s a planeâ€¦itâ€™s a balloon French fry box. #TrickorTweet https://t.co/Dv5xpacT76,,423
3565,McDonalds,FALSE,Tue Oct 31 22:38:44 +0000 2017,"@116559 Our heartâ€™s beating faster over here, and itâ€™s not from all the scares. #TrickorTweet https://t.co/B4ZQcbVFW0",,424
3566,McDonalds,FALSE,Tue Oct 31 22:28:38 +0000 2017,"@116560 Our heartâ€™s beating faster over here, and itâ€™s not from all the scares. #TrickorTweet https://t.co/SF2E9c80OU",,421
3567,McDonalds,FALSE,Tue Oct 31 22:24:11 +0000 2017,@116561 Itâ€™s a birdâ€¦itâ€™s a planeâ€¦itâ€™s a balloon French fry box. #TrickorTweet https://t.co/ddqCL1y528,,483
