tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
848,SpotifyCares,FALSE,Tue Oct 31 22:28:16 +0000 2017,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,849,850
851,SpotifyCares,FALSE,Tue Oct 31 23:39:03 +0000 2017,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,,849
852,SpotifyCares,FALSE,Tue Oct 31 21:04:13 +0000 2017,"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB",850,853
854,SpotifyCares,FALSE,Tue Oct 31 19:36:16 +0000 2017,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",853,855
856,SpotifyCares,FALSE,Tue Oct 31 22:25:16 +0000 2017,"@115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB",857,858
859,SpotifyCares,FALSE,Wed Nov 01 08:30:40 +0000 2017,@115889 Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: https://t.co/KSq4qse4dE /RS,,857
860,SpotifyCares,FALSE,Tue Oct 31 21:51:22 +0000 2017,@115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,"861,858",862
863,SpotifyCares,FALSE,Tue Oct 31 22:25:07 +0000 2017,"@115891 No worries. If you have other questions, just give us a shout ðŸ˜‰ /GS",,864
865,SpotifyCares,FALSE,Tue Oct 31 22:17:55 +0000 2017,"@115891 Hey Mikey! We're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /GS",864,866
1867,SpotifyCares,FALSE,Tue Oct 31 22:42:29 +0000 2017,"@116128 Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB",1868,1869
1871,SpotifyCares,FALSE,Tue Oct 31 22:47:05 +0000 2017,"@116128 Hmm, let's see. Could you confirm the exact Spotify version of your desktop app? /KB",1872,1870
1873,SpotifyCares,FALSE,Tue Oct 31 22:53:34 +0000 2017,"@116128 Thanks! It's not ideal, but a clean reinstall of the app should help out: https://t.co/EqisDMwZAT. Let us know how it plays out /KB",,1872
1874,SpotifyCares,FALSE,Tue Oct 31 22:32:21 +0000 2017,@116128 Hey Jacklynn! The cavalry's here. Could you tell us the device/OS you're using? We'll see what we can suggest /KB,1869,1875
1876,SpotifyCares,FALSE,Tue Oct 31 22:33:32 +0000 2017,@116129 Hi Liam! Could you let us know the tracks/albums you're looking for? We'll take a look /RH,1877,1878
1879,SpotifyCares,FALSE,Tue Oct 31 23:27:02 +0000 2017,"@116129 2: Spotify content here: https://t.co/0i8GpimuDa. If you have anything else in mind, we're just a tweet away /RH",,1877
1880,SpotifyCares,FALSE,Tue Oct 31 23:26:54 +0000 2017,"@116129 1: Thanks! Looks like those albums are currently unavailable. Fingers crossed we'll be able to have them soon, but there's info about...",,1877
2798,SpotifyCares,FALSE,Sun Nov 26 00:27:36 +0000 2017,"@116374 Hey Katie, thanks for the feedback â€“ we appreciate it! Weâ€™ll get this passed onto the right team ðŸ’š /CG",,2799
2801,SpotifyCares,FALSE,Sun Nov 26 00:27:25 +0000 2017,@116375 Sorry about that. You shouldnâ€™t have received an email/notification if youâ€™re not eligible. Can you DM us your account's email address or username? /NQ https://t.co/ldFdZRiNAt,,2802
2803,SpotifyCares,FALSE,Sat Nov 25 06:54:29 +0000 2017,"@116375 Hey there! Just to clarify, which part of Canada are currently living in? /MT",2802,2804
2805,SpotifyCares,FALSE,Sun Nov 26 00:27:01 +0000 2017,"@116376 Hey Tom! Not to worry, we're more than happy to bring the party to your place. Would you mind sending this invite out to everyone you know? https://t.co/LwyCWf8WKC ðŸŽ‰ /TB",2806,2807
2808,SpotifyCares,FALSE,Sun Nov 26 00:23:18 +0000 2017,@116377 Hey there! Thanks for taking the time to reach out â€“ we'll pass your feedback on to our Ads team /NQ,,2809
2810,SpotifyCares,FALSE,Sun Nov 26 00:20:35 +0000 2017,"@116378 Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt",,2811
2852,SpotifyCares,FALSE,Sun Nov 26 00:20:17 +0000 2017,"@116379 Awesome! If you ever need anything else, just shout and we'll come running ðŸƒ /DF",,2853
2854,SpotifyCares,FALSE,Sat Nov 25 02:02:09 +0000 2017,@116379 Hey Dylan! Can you let us know which versions of Spotify and Windows you're running? We'll see what we can suggest /RA,2853,2855
2856,SpotifyCares,FALSE,Sun Nov 26 00:08:23 +0000 2017,@116380 @116381 Hey Pazcal! Could you send us a DM with your account's email address? We'll take a look backstage /MJ https://t.co/ldFdZRiNAt,,2857
2860,SpotifyCares,FALSE,Sun Nov 26 00:07:18 +0000 2017,@116380 @116382 Hey there! We'll get this reported. Great detective work! https://t.co/LpsmyUtme0 /MJ,,2861
2863,SpotifyCares,FALSE,Sun Nov 26 00:04:36 +0000 2017,@116383 Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt,,2864
2867,SpotifyCares,FALSE,Sun Nov 26 00:04:25 +0000 2017,@116384 Hey there! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have them available again soon /MT,2868,2869
2870,SpotifyCares,FALSE,Sun Nov 26 04:04:37 +0000 2017,"@116384 You're welcome. Not to worry, we'll pass on your feedback to the right team. If you ever need us again, just say the word. We're always here for you /MT",,2868
2871,SpotifyCares,FALSE,Sun Nov 26 00:03:12 +0000 2017,@116385 We've just sent a DM your way. Let's carry on chatting there /MT,,2872
2872,SpotifyCares,FALSE,Tue Nov 21 00:42:55 +0000 2017,"@116385 Hey there! Don't worry, help's here. Can you let us know the iPhone model you're using along with its iOS and Spotify versions? We'll see what we can suggest /MT",2871,2873
2874,SpotifyCares,FALSE,Sat Nov 25 23:59:41 +0000 2017,@116386 We see. Could you DM us your Facebook profile's email address? We'll help out there /CG https://t.co/ldFdZRiNAt,,2875
2876,SpotifyCares,FALSE,Sat Nov 25 22:35:14 +0000 2017,@116386 Hey! Could you DM us your accountâ€™s email address? Weâ€™ll check this out backstage /CG https://t.co/ldFdZRiNAt,2875,2877
2932,SpotifyCares,FALSE,Tue Oct 31 22:56:28 +0000 2017,"@116387 Thanks. Is it happening over 3G/4G, WiFi, or both? Does logging out, fully closing the app, and restarting your device help? /KC",2933,2934
2935,SpotifyCares,FALSE,Wed Nov 01 04:14:45 +0000 2017,@116387 Can you DM us your account's email address? We'll check things out /KC https://t.co/ldFdZRiNAt,,2933
2936,SpotifyCares,FALSE,Tue Oct 31 21:28:41 +0000 2017,"@116387 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",2934,2937
