tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
2378,Walmart,FALSE,Tue Oct 31 22:39:02 +0000 2017,"@116254 We disagree, Dylan. We're excited that you're choosing us, for all your sporting needs. ðŸ€ðŸ›’ðŸˆ -Sabi",2379,2380
2381,Walmart,FALSE,Tue Oct 31 22:21:23 +0000 2017,"@116256 Ohh, stop it! You're making us blush. â˜º-Sabi",,2382
2383,Walmart,FALSE,Sun Oct 29 14:16:20 +0000 2017,"@116256 We â¤ï¸ you too, Angel. Thanks for having our back! -Pia",2382,2384
2385,Walmart,FALSE,Tue Oct 31 22:15:19 +0000 2017,"@116257 Impressive, the ""love"" symbol looks awesome! Did you draw that? ðŸ‘ -Sabi",2386,2387
2390,Walmart,FALSE,Tue Oct 31 22:08:18 +0000 2017,@116259 We love it! Sounds like a double win! New friendâœ” Cozy blankets âœ”. Thanks for choosing us. -Sabi,,2391
2392,Walmart,FALSE,Tue Oct 31 22:00:57 +0000 2017,"@116260 Yay! We're thrilled to hear you've enjoyed your experience, Randi. -Sabi",,2393
2394,Walmart,FALSE,Tue Oct 31 21:53:49 +0000 2017,@116261 We want you to leave our store with a smile on your face. ðŸ˜‰ -Sabi,,2395
2396,Walmart,FALSE,Tue Oct 31 21:50:14 +0000 2017,@116262 You're more than welcome! It makes us very happy to hear that.    -Sabi,,2397
2398,Walmart,FALSE,Tue Oct 31 17:34:28 +0000 2017,@116262 Nothing but the best for the communities! We hope everyone is able to enjoy the pumpkins. Thanks for the shoutout! -Ami,2397,2399
2400,Walmart,FALSE,Tue Oct 31 21:45:31 +0000 2017,"@116263 Woot Woot! Thanks for the shout out, Will. ðŸŽ¶ -Sabi",,2401
7965,Walmart,FALSE,Tue Oct 31 22:49:58 +0000 2017,"@117369 We're not judging, Teresa. You have to listen when the sweet tooth calls. ðŸ¬ðŸ˜‰ -Sabi",,7966
12906,Walmart,FALSE,Wed Nov 01 01:42:13 +0000 2017,"@118616 A truly wonderful young woman, indeed. Enjoy the book. -Danny",,12907
12908,Walmart,FALSE,Wed Nov 01 01:32:42 +0000 2017,"@118618  Lovely ladies! Although, to be honest, none of you look a day older than 20! -Danny",,12909
12910,Walmart,FALSE,Wed Nov 01 01:24:22 +0000 2017,"@118619  Too cute!! But can't quite tell if that's a Nintendo Kirby or a chew toy? Either way, looks cuddly! -Danny",12911,12912
14667,Walmart,FALSE,Wed Nov 01 02:22:13 +0000 2017,"@119144 Hope this means we'll be seeing alot more of you, curbside! -Danny",14668,14669
14670,Walmart,FALSE,Wed Nov 01 02:20:59 +0000 2017,@119146 Wish we had a picture of that! Too cute for words. -Danny,14671,14672
14673,Walmart,FALSE,Wed Nov 01 02:20:06 +0000 2017,@119147  Looks like fun! You really livened up the place. #gojira #kingofmonsters-Danny,,14674
14675,Walmart,FALSE,Wed Nov 01 02:16:01 +0000 2017,"@119148 It's not about the clothes, it's all in the attitude. #confidence -Danny",,14676
14677,Walmart,FALSE,Wed Nov 01 01:55:25 +0000 2017,"@119149  Sounds like a real keeper! Hope you get to feeling better soon. In the meantime, enjoy a quiet evening of rest. -Danny",,14678
14679,Walmart,FALSE,Wed Nov 01 01:53:34 +0000 2017,@119150  Fab shirt! #dontweall -Danny,,14680
14681,Walmart,FALSE,Wed Nov 01 01:50:16 +0000 2017,@119151 Loving your 'can-do' attitude! Thanks for sharing your makeup solution with us. #makeitwork -Danny,,14682
14683,Walmart,FALSE,Wed Nov 01 01:48:31 +0000 2017,@119153 Great book! Enjoy and become inspired. -Danny,,14684
18664,Walmart,FALSE,Wed Nov 01 05:42:21 +0000 2017,@1239 You girls rock! Stars in the making. â­-Sabi,18665,18666
18667,Walmart,FALSE,Wed Nov 01 05:16:29 +0000 2017,@120162 Winner! ðŸ‘† What a great way to end the day. ðŸŽƒ -Sabi,,18668
19965,Walmart,FALSE,Wed Nov 01 06:36:45 +0000 2017,@120383 Thanks for the shout out! Looks like the pool-or-treat was s-pool-tacular. ðŸ‘» -Sabi,,19966
19967,Walmart,FALSE,Wed Nov 01 06:29:00 +0000 2017,@120384 Adorable! The perfect duo for a rescue mission. -Sabi,19968,19969
19970,Walmart,FALSE,Wed Nov 01 06:22:33 +0000 2017,@120385 Awesome! #WalmartFind ðŸ´ -Sabi,,19971
19974,Walmart,FALSE,Wed Nov 01 05:56:24 +0000 2017,@120386 Late night shopping is the best! -Sabi,,19975
21380,Walmart,FALSE,Wed Nov 01 06:55:30 +0000 2017,"@120680 Our store is all yours, Kaile. Happy shopping! -Sabi",,21381
25556,Walmart,FALSE,Wed Nov 01 09:37:26 +0000 2017,@121534 They look awesome! -Jazz,,25557
25558,Walmart,FALSE,Wed Nov 01 09:30:42 +0000 2017,"@121535 Way to go, Beth! ðŸ’› -Jazz",,25559
25562,Walmart,FALSE,Wed Nov 01 09:25:49 +0000 2017,@121539 ðŸ¤—Guess we are a bit eager for the Holidays to start! ðŸŽâ„âŒ› -Jazz,25563,25564
25565,Walmart,FALSE,Wed Nov 01 09:05:44 +0000 2017,@121540 It's our pleasure. -Jazz,25566,25567
26729,Walmart,FALSE,Mon Nov 20 03:42:46 +0000 2017,@121857 You seem super prepared for those upcoming chilly days! We admire that in a savvy shopper. Stay warm and enjoy your new wardrobe additions! -Danny,,26730
26731,Walmart,FALSE,Mon Nov 20 03:41:22 +0000 2017,@121858 We love having fabulous customers like you visit us! Hope you'll stop by again soon. -Danny,,26732
26733,Walmart,FALSE,Mon Nov 20 03:25:09 +0000 2017,"@121859 Wow, amazing find! Glad you were able add this to your collection. Thanks for sharing the pics as well! -Danny",,26734
26735,Walmart,FALSE,Mon Nov 20 03:04:48 +0000 2017,@121860 Happy to hear that your persistence paid off! -Danny,,26736
26737,Walmart,FALSE,Mon Nov 20 03:02:30 +0000 2017,@121862 Score! Enjoy the new album. -Danny,26738,26739
26740,Walmart,FALSE,Mon Nov 20 02:55:53 +0000 2017,@121863 Those look super comfy! Bonus points for having a Frosty print. #nostalgia -Danny,,26741
26742,Walmart,FALSE,Mon Nov 20 02:53:01 +0000 2017,@121864 Hope you purchased several of these! #staycomfy -Danny,,26743
26744,Walmart,FALSE,Mon Nov 20 02:49:46 +0000 2017,@121865 Sounds like a real keeper! At least your adventures at Walmart are never boring. ðŸ˜‚ -Danny,,26745
26750,Walmart,FALSE,Sun Dec 03 19:57:30 +0000 2017,@121867 We didn't mean to upset you! Our printed policy https://t.co/NXLVNRNXZt is that only 3 no-receipt returns are accepted within a 45 day period. We do appreciate your feedback if you were made to feel like other than a valued customer. https://t.co/0SZ9iXXVcc -Donna,,26751
28376,Walmart,FALSE,Wed Nov 01 10:43:39 +0000 2017,@122211 I personally think ðŸ§€ makes everything better! Please share your request at https://t.co/0SZ9iXXVcc. -Jazz,,28377
